gene,disease,score,association,pmid
PALMD,MESH:C531833,0.9992,Association,39402101
DCLRE1B,MESH:D006528,0.9994,Association,39445019
LINC01138,MESH:D001749,0.999,Association,39550498
MCL1,MESH:D009369,0.9994,Association,39663392
PIP5K1A,MESH:D012516,0.998,Association,39663392
TARS2,MESH:D012516,0.9991,Association,39663392
ENSA,MESH:D012516,0.9993,Association,39663392
MCL1,MESH:D012516,0.9988,Association,39663392
MINDY1,MESH:D001943,0.984,Positive_Correlation,39671715
DCLRE1B,MESH:C536068,0.9996,Association,39738287
DCLRE1B,MESH:C565079,0.9996,Association,39738287
DCLRE1B,MESH:D009369,0.9997,Association,39738287
DCLRE1B,MESH:D008545,0.9947,Association,39738287
PKP1,MESH:D008545,0.9997,Association,39853870
PKP1,MESH:D009369,0.9997,Association,39853870
CYP4A22,MESH:C562794,0.9997,Association,39873438
TRIM63,MESH:D009133,0.9995,Association,39930652
ALX3,MESH:D009369,0.9994,Association,39944136
TRIM58,MESH:D009369,0.9994,Association,39944136
TRAF5,MESH:D015179,0.9995,Association,40003916
IL20,MESH:D007249,0.9996,Association,40024993
ERMAP,MESH:D004681,0.9991,Negative_Correlation,40065719
ERMAP,MESH:D007249,0.9907,Association,40065719
ABCA4,MESH:D000080362,0.9992,Association,40094701
CD1C,MESH:D008527,0.9956,Association,40104502
OLFML3,MESH:D008527,0.9993,Association,40104502
OLFML2B,MESH:D008527,0.9992,Association,40104502
ABCA4,MESH:D012174,0.999,Association,40121528
APOA2,MESH:D011565,0.9073,Association,40137160
Rcc2,MESH:D001943,0.9997,Association,40145796
EMC1,MESH:D012600,0.9996,Association,40150819
EMC1,MESH:D005885,0.9995,Association,40150819
NR1I3,MESH:D009369,0.5125,Association,40156311
EPHA2,MESH:D001932,0.9994,Association,40156311
NR1I3,MESH:D020258,0.9147,Positive_Correlation,40156311
NR1I3,MESH:D001932,0.596,Association,40156311
FAAH,MESH:D007174,0.9993,Association,40158843
FAAH,MESH:D003865,0.9926,Association,40158843
FAAH,MESH:D001883,0.9986,Association,40158843
FAAH,MESH:D010554,0.9974,Association,40158843
LAMC1,MESH:D000083023,0.9972,Association,40179807
LAMC1,MESH:D009369,0.7883,Association,40179807
LAMC1,MESH:D015212,0.9274,Association,40179807
OTUD3,MESH:D018281,0.9992,Association,40181152
OTUD3,MESH:C564321,0.9979,Association,40181152
OTUD3,MESH:D009362,0.9932,Association,40181152
NR1I3,MESH:D006528,0.8303,Negative_Correlation,40181964
NR1I3,MESH:D009369,0.6856,Association,40181964
NR1I3,MESH:D002289,0.9276,Association,40181964
NR1I3,MESH:D008175,0.5858,Association,40181964
EPHA2,MESH:D008527,0.9526,Association,40190167
CYP4Z2P,MESH:D001943,0.9997,Association,31672276
CYP4Z2P,MESH:D007021,0.9988,Association,32728162
CYP4X1,MESH:D007021,0.9814,Association,32728162
CYP4A11,MESH:D007021,0.8537,Association,32728162
CYP4A22,MESH:D007021,0.9943,Association,32728162
CYP4B1,MESH:D007021,0.9979,Association,32728162
EPHX1,MESH:D007021,0.9723,Association,32728162
CD46,MESH:D020529,0.9937,Association,32800273
ZNF697,MESH:D020529,0.999,Association,32800273
CD58,MESH:D020529,0.9984,Association,32800273
MIR6738,MESH:D013274,0.9995,Association,33811245
HMCN1,MESH:D000072717,0.6337,Association,34307159
RNF207,MESH:D000072717,0.9994,Association,34307159
DDX11L2,MESH:D000072717,0.9993,Association,34307159
MIR6738,MESH:D013274,0.9963,Association,34341481
FAM89A,MESH:D005334,0.9989,Association,34589675
IFI44L,MESH:D014777,0.999,Association,34589675
IFI44L,MESH:D005334,0.9995,Association,34589675
FAM89A,MESH:D014777,0.9979,Association,34589675
HSD11B1,MESH:C562393,0.9992,Association,34992686
HSD11B1,MESH:D008545,0.9834,Negative_Correlation,34992686
NIPAL3,MESH:D007627,0.9736,Association,35432479
LINC01132,MESH:D009369,0.93,Positive_Correlation,36071454
LINC01132,MESH:D006528,0.9405,Association,36071454
LINC01132,MESH:D009362,0.991,Positive_Correlation,36071454
Lsm10,MESH:D009468,0.9092,Association,36130491
Lsm10,MESH:D009133,0.9917,Association,36130491
HSD11B1,MESH:C562393,0.9988,Association,36160015
TENT5B,MESH:D009362,0.9996,Association,36701842
ZFP69B,MESH:D009369,0.9986,Positive_Correlation,38003570
HSPB7,MESH:D002294,0.9723,Association,38084139
SCARNA4,MESH:D001943,0.7922,Association,38311725
SNORA73B,MESH:D001943,0.7678,Positive_Correlation,38311725
SCARNA4,MESH:D009369,0.9928,Association,38311725
SNORA73B,MESH:D009369,0.9902,Association,38311725
PINK1,MESH:D005910,0.9757,Association,38370373
FAM72A,MESH:D005910,0.9997,Association,38370373
DPH2,MESH:D006528,0.7635,Positive_Correlation,39262488
SPRR2E,MESH:D015535,0.9992,Association,39342985
CAMK2N1,MESH:D011565,0.998,Association,39344312
CAMK2N1,MESH:D024821,0.9012,Association,39344312
OBSCN,MESH:D011565,0.9992,Association,39344312
TARS2,MESH:D004827,0.9992,Association,39394138
TARS2,MESH:D001927,0.9972,Association,39394138
TARS2,MESH:D011596,0.9711,Association,39394138
TARS2,OMIM:615918,0.9996,Association,39394138
TARS2,MESH:D008599,0.9992,Association,39394138
TARS2,MESH:D017237,0.9996,Association,39394138
TARS2,MESH:D000013,0.9994,Association,39394138
MIR197,MESH:D008881,0.9994,Association,39408819
SVBP,MESH:D016472,0.9997,Association,39412222
SVBP,MESH:D015419,0.9997,Association,39412222
SVBP,MESH:D008607,0.9997,Association,39412222
SVBP,MESH:D001072,0.9985,Association,39412222
SVBP,MESH:D010523,0.9992,Association,39412222
MINDY1,MESH:D001943,0.9997,Association,39443136
EMC1,MESH:D018908,0.999,Association,39456191
EMC1,MESH:D015835,0.9972,Association,39456191
EMC1,MESH:D028361,0.9986,Association,39456191
Emc1,MESH:D003327,0.9995,Association,39456238
Tnfaip8l2,MESH:D009369,0.9958,Association,39532931
Tnfaip8l2,MESH:D008545,0.9921,Negative_Correlation,39532931
CSMD2,MESH:D004387,0.9996,Association,39570219
ADGRL2,MESH:D006331,0.6482,Negative_Correlation,39594576
NOS1AP,MESH:D009369,0.8688,Association,39613731
UCHL5,MESH:D009369,0.9996,Association,39702250
UCHL5,MESH:D002583,0.5162,Positive_Correlation,39702250
UCHL5,MESH:C563236,0.6858,Positive_Correlation,39702250
CCDC18,MESH:D003865,0.9996,Association,39798887
CCDC18,MESH:D001072,0.9263,Association,39798887
Ago4,MESH:D025063,0.9608,Association,39803480
Ago3,MESH:D025063,0.9106,Association,39803480
FCER1A,MESH:D007249,0.9876,Association,39847517
DNM3,MESH:D009369,0.9937,Negative_Correlation,39847517
DNM3,MESH:D010190,0.9948,Association,39847517
AGO4,MESH:D014652,0.9968,Association,39857904
AGO4,MESH:D003327,0.9858,Association,39857904
AGO4,MESH:D009080,0.9995,Association,39857904
DCLRE1B,MESH:D006528,0.999,Association,39864538
DCLRE1B,MESH:D009369,0.7992,Positive_Correlation,39864538
DPH2,MESH:D009369,0.9987,Association,39928200
DPH2,OMIM:616901,0.9996,Association,39928200
DPH2,MESH:D011471,0.8412,Association,39928200
DPH2,MESH:D000230,0.9991,Association,39928200
FCER1G,MESH:D003324,0.9991,Association,39953122
FCGR2A,MESH:D003324,0.999,Association,39953122
UBIAD1,MESH:D009765,0.9996,Association,40016272
UBIAD1,MESH:D018205,0.9986,Association,40016272
LRP8,MESH:D001943,0.9991,Association,40022442
ZNF697,MESH:D000077192,0.9565,Association,40029500
MIR200B,MESH:D002289,0.9965,Association,40034591
Nek7,MESH:D009062,0.9976,Association,40054700
RNF207,MESH:D002311,0.999,Association,40080479
ABCA4,MESH:D012162,0.9985,Association,40101946
GLRX2,MESH:D020961,0.9919,Negative_Correlation,40111912
YY1AP1,MESH:D006528,0.9997,Association,40130081
PHGDH,MESH:D006528,0.9997,Association,40130081
TLR5,MESH:D000086382,0.9996,Association,40149530
Nlrp3,MESH:D001249,0.9885,Association,40163148
TRAF5,MESH:D011471,0.9994,Association,40191236
LRP8,MESH:D009101,0.9993,Association,40199866
SRGAP2C,MESH:D007153,0.8372,Association,22559944
MIR29B2CHG,MESH:D001943,0.7838,Negative_Correlation,34201896
MIR29B2,MESH:D001943,0.9932,Negative_Correlation,34201896
MIR29C,MESH:D001943,0.9566,Negative_Correlation,34201896
ACBD3,MESH:D009369,0.8649,Positive_Correlation,34332535
PPIH,MESH:D000077192,0.9996,Association,34840672
PFDN2,MESH:D000077192,0.9997,Association,34840672
MRTO4,MESH:D000086382,0.9988,Association,34840672
MRPL24,MESH:D000086382,0.9813,Association,34840672
EBNA1BP2,MESH:D000086382,0.9988,Association,34840672
MRTO4,MESH:D000077192,0.9997,Association,34840672
MRPL24,MESH:D000077192,0.9997,Association,34840672
EBNA1BP2,MESH:D000077192,0.9997,Association,34840672
PFDN2,MESH:D000086382,0.9987,Association,34840672
PPIH,MESH:D000086382,0.9996,Association,34840672
NEK2,MESH:D000077192,0.9908,Association,34850664
C2CD4D,MESH:D000077192,0.9894,Association,34850664
THEM5,MESH:D000077192,0.9928,Association,34850664
KANK4,MESH:D007239,0.9995,Association,35480316
IFI44L,MESH:D007239,0.9995,Association,35480316
IFI44L,MESH:D000086382,0.9988,Association,35480316
KANK4,MESH:D000086382,0.9934,Association,35480316
KANK4,MESH:D001749,0.9989,Association,36211349
INTS7,MESH:D000077192,0.994,Positive_Correlation,36647477
INTS7,MESH:D008207,0.9961,Positive_Correlation,36647477
SPRR2E,MESH:D012734,0.9996,Association,36915614
S100A8,MESH:D012734,0.9996,Association,36915614
SPRR2A,MESH:D012734,0.9996,Association,36915614
SPRR2D,MESH:D012734,0.9996,Association,36915614
LINC00853,MESH:D013274,0.9814,Association,37403034
LINC00853,MESH:D009369,0.999,Association,37403034
PDZK1IP1,MESH:D009369,0.9267,Association,37403034
PDZK1IP1,MESH:D013274,0.9988,Association,37403034
CASP9,MESH:D006973,0.9986,Association,37451613
OBSCN-AS1,MESH:D006973,0.9682,Association,37451613
CHRM3,MESH:D018805,0.9983,Association,37488493
SNORA80E,MESH:D009362,0.9995,Association,37505750
SNORA80E,MESH:D009369,0.9996,Association,37505750
SNORA80E,MESH:D063646,0.9997,Association,37505750
FAAP20,MESH:D009369,0.9975,Association,37620397
GPR37L1,MESH:D001714,0.9991,Association,38161273
ELF3,MESH:D001714,0.9987,Association,38161273
ARL8A,MESH:D001714,0.9985,Association,38161273
UBE2J2,MESH:D015470,0.9985,Association,38366087
PDZK1,MESH:D013274,0.8252,Association,38586313
LINC00853,MESH:D009369,0.9944,Positive_Correlation,38586313
LINC00853,MESH:D013274,0.9623,Association,38586313
PDZK1IP1,MESH:D013274,0.6903,Association,38586313
KANK4,MESH:D007627,0.9477,Positive_Correlation,38622256
SYCP1,MESH:D015179,0.9997,Association,39208330
SYCP1,MESH:D013736,0.9932,Association,39208330
MIR197,MESH:D002583,0.9531,Association,39242014
LINC00853,MESH:D013274,0.9996,Association,39335515
S100A9,MESH:D002294,0.9706,Positive_Correlation,39367796
S100A9,MESH:D009298,0.9994,Association,39367796
S100A9,MESH:D007249,0.9303,Association,39367796
S100A9,MESH:D000092562,0.9996,Association,39367796
KRTCAP2,MESH:D000086382,0.9501,Association,39384777
HMGN2P18,MESH:D000086382,0.9001,Association,39384777
SLC35F3,MESH:D000077192,0.9995,Association,39414367
SLC35F3,MESH:D009369,0.9996,Association,39414367
CYP4A22,MESH:C562794,0.9997,Association,39569444
HES4,MESH:D006528,0.9953,Association,39616302
HES4,MESH:D009369,0.9993,Association,39616302
DCLRE1B,OMIM:603933,0.999,Association,39719581
DCLRE1B,MESH:D003930,0.9995,Association,39719581
Tnfrsf1b,MESH:D007249,0.9995,Association,39729868
Tnfaip8l2,MESH:D007249,0.9995,Association,39729868
Sft2d2,MESH:D000068079,0.9955,Association,39733937
SFT2D2,MESH:D012559,0.9995,Association,39733937
ARID1A,MESH:D003528,0.997,Association,39760648
ARID1A,MESH:D009369,0.7784,Association,39760648
SPEN,MESH:D009369,0.9989,Association,39760648
RIT1,MESH:D003528,0.9871,Association,39760648
ILF2,MESH:D006528,0.9993,Association,39840062
DDX11L2,MESH:D018805,0.9986,Association,39871218
TSHB,MESH:D003409,0.7836,Association,39875149
TSHB,MESH:D007037,0.9997,Association,39875149
Zdhhc18,MESH:D014517,0.9992,Positive_Correlation,39913299
ZDHHC18,MESH:D005355,0.9429,Association,39913299
Zdhhc18,MESH:D005355,0.9836,Association,39913299
Zdhhc18,MESH:D051436,0.8087,Association,39913299
Zdhhc18,MESH:D007674,0.5371,Positive_Correlation,39913299
Zdhhc18,MESH:D006030,0.9996,Association,39913299
TAS1R3,MESH:D014091,0.9997,Association,39922492
TAS1R3,MESH:D001851,0.9997,Association,39922492
NOS1AP,MESH:D008133,0.9996,Association,39930683
NOS1AP,MESH:D012559,0.9996,Association,39930683
NOS1AP,MESH:D002318,0.9996,Association,39930683
HES4,MESH:D006528,0.9723,Positive_Correlation,39934570
HES4,MESH:D009369,0.9995,Association,39934570
PLPPR4,MESH:D013274,0.7537,Association,39967665
MAB21L3,MESH:D016403,0.8796,Negative_Correlation,40029433
GSTM5,MESH:D016403,0.5187,Association,40029433
NOC2L,MESH:D010051,0.9856,Positive_Correlation,40036166
FAM72A,MESH:D006528,0.9997,Association,40081285
FAM72A,MESH:D009362,0.5434,Positive_Correlation,40081285
S100A12,MESH:D003324,0.9988,Association,40093223
MRPS15,MESH:D000077192,0.9996,Association,40097569
JUN,MESH:D000077192,0.9782,Association,40097569
RUNX3,MESH:D000077192,0.9994,Association,40097569
TMOD4,MESH:D006528,0.9979,Association,40097750
ANGPTL1,MESH:D020181,0.6895,Association,40118992
FCER1G,MESH:D020181,0.9996,Association,40118992
PSMB2,MESH:D014947,0.9996,Association,40143635
LINC00339,MESH:D000860,0.8599,Association,40143635
PSMB2,MESH:D000860,0.9976,Association,40143635
ILF2,MESH:D000077195,0.9768,Association,40176914
LCK,MESH:D007822,0.9995,Association,40183093
TGFB2,MESH:D007822,0.99,Association,40183093
RPL5,MESH:D061325,0.9933,Association,40185360
RPL5,MESH:D009369,0.9996,Association,40185360
Nipal3,MESH:D006969,0.9995,Association,19738379
Nipal3,MESH:D003072,0.9986,Association,19738379
NIPAL3,MESH:D006969,0.9983,Association,19738379
RALGPS2,MESH:D008175,0.9996,Association,27149377
RALGPS2,MESH:D002289,0.9993,Association,27149377
BNIPL,MESH:D000860,0.9985,Negative_Correlation,31221064
TXNIP,MESH:D000860,0.928,Negative_Correlation,31221064
EGLN1,MESH:D000860,0.9983,Negative_Correlation,31221064
SCARNA1,MESH:D013771,0.5255,Association,31953571
SCARNA1,MESH:D006330,0.9985,Association,31953571
NFIA-AS2,MESH:D005910,0.9459,Association,32779154
LINC01132,MESH:D000077216,0.9585,Association,34132375
LINC01132,MESH:D009369,0.9821,Association,34132375
LINC01132,MESH:D010554,0.9993,Association,34132375
S100PBP,MESH:D007239,0.9993,Association,34555028
TSEN15,MESH:C580383,0.9985,Association,34964109
EBNA1BP2,MESH:D014820,0.997,Association,35535201
UQCRH,MESH:D014820,0.9994,Association,35535201
MIR1290,MESH:D005909,0.8422,Association,35706804
RNF11,MESH:D005909,0.9995,Association,35706804
PAQR6,MESH:D007249,0.9994,Association,35768415
TPM3,MESH:D009369,0.712,Association,35977594
TPM3,MESH:D015179,0.9995,Association,35977594
CHRM3,MESH:D010195,0.9991,Association,36052691
MIR200B,MESH:D010195,0.9993,Association,36052691
NPL,MESH:D010195,0.9738,Association,36052691
MIR200A,MESH:D010195,0.9993,Association,36052691
MIR29C,MESH:D009461,0.9988,Association,36277485
YIPF1,MESH:C535739,0.9996,Association,36340761
PBX1,MESH:D013345,0.7025,Association,36340761
PBX1,MESH:C535739,0.9997,Association,36340761
PAQR6,MESH:D000544,0.9996,Association,36544231
INTS7,MESH:D008844,0.9996,Association,36581475
NFIA-AS2,MESH:D009765,0.9967,Association,36806387
MIR34A,MESH:D006528,0.9987,Association,37685904
SPRR2A,MESH:D001749,0.9944,Association,37780567
MYBPH,MESH:D001749,0.9992,Association,37780567
FAM89A,MESH:D018805,0.9915,Positive_Correlation,38050254
G0S2,MESH:D018805,0.5149,Positive_Correlation,38050254
TIPRL,MESH:D002289,0.9997,Association,38383737
TARS2,MESH:D063646,0.9995,Association,38477373
TARS2,MESH:D007249,0.9996,Association,38477373
FAM72A,MESH:D009369,0.9996,Association,39215025
SRSF11,MESH:D000077195,0.9981,Association,39227899
SRSF10,MESH:D009062,0.9992,Association,39227899
SRSF11,MESH:D009062,0.8513,Positive_Correlation,39227899
SRSF10,MESH:D000077195,0.9985,Association,39227899
SRSF4,MESH:D000077195,0.7733,Positive_Correlation,39227899
emc1,MESH:D012164,0.9996,Association,39360639
emc1,MESH:D012162,0.9978,Association,39360639
emc1,MESH:D014786,0.9976,Association,39360639
MAD2L2,MESH:D005199,0.8292,Association,39421870
FAAP20,MESH:D005199,0.8706,Association,39421870
UBE2T,MESH:D061325,0.9986,Association,39421870
UBE2T,MESH:D005199,0.9992,Association,39421870
UBE2T,MESH:D017093,0.9991,Association,39421870
UBE2T,MESH:D009369,0.9995,Association,39421870
HEATR1,MESH:D009135,0.9993,Association,39438952
HEATR1,MESH:D018805,0.9913,Association,39438952
GNL2,MESH:D009135,0.9981,Association,39438952
GNL2,MESH:D018805,0.9842,Association,39438952
EBNA1BP2,MESH:D018805,0.9937,Association,39438952
EBNA1BP2,MESH:D009135,0.9969,Association,39438952
CTSS,MESH:D001145,0.9981,Association,39486179
SH3BGRL3,MESH:D001145,0.9995,Association,39486179
FAM151A,MESH:D001145,0.9707,Association,39486179
SYT11,MESH:D001145,0.9986,Association,39486179
SFT2D2,MESH:D011471,0.9991,Association,39540264
TBX19,MESH:D028361,0.9996,Association,39540264
TBX19,MESH:D011471,0.8687,Association,39540264
SFT2D2,MESH:D028361,0.9989,Association,39540264
PTPRU,MESH:D001943,0.9156,Association,39684488
IKBKE,MESH:D001943,0.9214,Association,39684488
BEST4,MESH:D009369,0.9812,Negative_Correlation,39699952
BEST4,MESH:D009362,0.9939,Positive_Correlation,39699952
HES4,MESH:D015179,0.9912,Association,39699952
BEST4,MESH:D015179,0.9543,Association,39699952
Camk2n1,MESH:D006973,0.9983,Association,39798916
HYDIN2,MESH:D002925,0.9991,Association,39805680
CNST,MESH:D000437,0.9902,Association,39892688
Plppr4,MESH:D003920,0.9723,Association,39915794
Plppr4,MESH:C000721848,0.9966,Negative_Correlation,39915794
PLPPR4,MESH:D003920,0.9777,Association,39915794
Plppr4,MESH:D003072,0.9936,Association,39915794
Plppr4,MESH:D060825,0.9959,Association,39915794
PLPPR4,MESH:D060825,0.9985,Association,39915794
ACTA1,MESH:D005355,0.9991,Association,39951297
S100A4,MESH:D005355,0.9993,Association,39951297
PTPRU,MESH:D000092202,0.8521,Association,40002435
PTPRU,MESH:D019966,0.9975,Association,40002435
PTPRU,OMIM:603663,0.9069,Association,40002435
PTPRU,MESH:D001007,0.9985,Association,40002435
PTPRU,MESH:D003866,0.9987,Association,40002435
NEK7,MESH:D018805,0.9981,Association,40015203
NEK7,MESH:D009202,0.9996,Association,40015203
GLRX2,MESH:D050197,0.9997,Association,40025257
ABCA4,MESH:D058499,0.9997,Association,40127654
ABCA4,MESH:D000080362,0.9993,Association,40127654
ABCA4,MESH:D012162,0.9995,Association,40127654
Mir200b,MESH:D055371,0.9899,Association,40127710
Mir200a,MESH:D055371,0.9569,Association,40127710
SERBP1,MESH:D009369,0.9997,Association,40153110
SERBP1,MESH:D005909,0.9995,Association,40153110
Dnm3,MESH:D059348,0.9806,Association,40163256
RAD54L,MESH:D010051,0.9964,Association,40166687
Rxfp4,MESH:D003248,0.9991,Association,40194608
SPRR3,MESH:D004485,0.9978,Association,21490620
SPRR3,MESH:D004485,0.9979,Association,21490620
LCE1D,MESH:D004485,0.9772,Association,21490620
FLG2,MESH:D004485,0.9979,Association,21490620
S100A3,MESH:D004485,0.9699,Association,21490620
ZNF697,MESH:D009103,0.9962,Association,27001119
RALGPS2,MESH:D014523,0.9991,Association,29208460
RALGPS2,MESH:D001749,0.9996,Association,29208460
MIR4421,MESH:D011225,0.9091,Association,29630094
ALPL,MESH:D005909,0.8751,Association,31137733
NBPF8,MESH:D008313,0.9995,Association,31256822
NBPF9,MESH:D008313,0.9996,Association,31256822
BNIPL,MESH:D009369,0.9995,Association,31485655
BNIPL,MESH:D015179,0.9982,Association,31485655
CYP4Z2P,MESH:D009369,0.9935,Association,31655919
CYP4Z2P,MESH:D001943,0.9995,Association,31655919
TAF1A,MESH:D003110,0.9996,Association,32522293
MIR4421,MESH:D009959,0.567,Association,33046743
MIR4421,MESH:D014060,0.9993,Association,33046743
MIR4421,MESH:D063646,0.9665,Association,33046743
G0S2,MESH:D009080,0.9299,Positive_Correlation,35292727
HSD11B1,MESH:D009080,0.9975,Association,35292727
HSD11B1,MESH:D007249,0.9992,Association,35292727
G0S2,MESH:D007249,0.9826,Association,35292727
Rnf207,MESH:D019190,0.7892,Positive_Correlation,35352799
Rnf207,MESH:D006331,0.9993,Positive_Correlation,35352799
Rnf207,MESH:D006332,0.9986,Positive_Correlation,35352799
Rnf207,MESH:D005355,0.8401,Positive_Correlation,35352799
Rnf207,MESH:D006984,0.9981,Positive_Correlation,35352799
NIBAN1,MESH:D009369,0.9967,Positive_Correlation,35776020
NIBAN1,MESH:D004938,0.9662,Association,35776020
FLVCR1,MESH:D000086382,0.6511,Association,36359290
PYCR2,MESH:D002292,0.5005,Positive_Correlation,36624948
PYCR2,MESH:D009369,0.9776,Positive_Correlation,36624948
ZFP69B,MESH:D006528,0.9987,Association,36647389
PTPRU,MESH:C562645,0.9327,Association,37056996
IFI44L,MESH:D001424,0.9995,Association,37371198
FAM89A,MESH:D001424,0.9987,Association,37371198
Snora73b,MESH:D016889,0.5915,Association,37488742
EBNA1BP2,MESH:D001749,0.9979,Association,37701108
LORICRIN,MESH:D001749,0.9991,Association,37701108
PPIAL4A,MESH:D058186,0.6632,Association,37779910
SLC16A1,MESH:D002292,0.9987,Association,37848987
CCDC18,MESH:D002292,0.9969,Association,37848987
EMBP1,MESH:D002578,0.9815,Association,38072997
MYBPH,MESH:D001749,0.9995,Association,38172792
CRNN,MESH:D001749,0.9975,Association,38172792
SPRR2A,MESH:D001749,0.9993,Association,38172792
BNIPL,MESH:D007822,0.9989,Association,38302910
SCARNA2,MESH:D000707,0.9862,Association,38384772
DCLRE1B,MESH:D002292,0.9997,Association,38430974
TARS2,MESH:D017237,0.9995,Association,38482264
TARS2,OMIM:615918,0.9997,Association,38482264
TARS2,MESH:D030342,0.9711,Association,38482264
TARS2,MESH:C565423,0.6051,Association,38482264
TARS2,MESH:D051436,0.9311,Association,38482264
TARS2,MESH:D007037,0.9801,Association,38482264
TARS2,MESH:D007011,0.9614,Association,38482264
TNFAIP8L2,MESH:D000077216,0.998,Negative_Correlation,39259551
TNFAIP8L2,MESH:D009369,0.99,Negative_Correlation,39259551
TNFAIP8L2,MESH:D009362,0.9987,Negative_Correlation,39259551
TNFAIP8L2,MESH:D010051,0.9935,Negative_Correlation,39259551
MATN1,MESH:D005910,0.9992,Association,39428107
RABGAP1L,MESH:D013274,0.9986,Association,39430825
NAV1,MESH:C562942,0.8781,Association,39457433
IL10,OMIM:109730,0.9963,Association,39457433
PCSK9,OMIM:109730,0.9953,Association,39457433
ALPL,OMIM:109730,0.9611,Association,39457433
IL10,MESH:D007249,0.9986,Association,39457433
FAAP20,MESH:D000740,0.9986,Association,39558275
ADORA1,MESH:D002292,0.63,Association,39697703
PLPPR4,MESH:D002292,0.9982,Association,39697703
OTUD3,MESH:D019636,0.9996,Association,39788523
OTUD3,MESH:D008175,0.9893,Positive_Correlation,39788523
OTUD3,MESH:D015179,0.9992,Negative_Correlation,39788523
OTUD3,MESH:D007249,0.9994,Association,39788523
OTUD3,MESH:D001943,0.9992,Negative_Correlation,39788523
OTUD3,MESH:D004938,0.999,Negative_Correlation,39788523
OTUD3,MESH:D009369,0.9995,Association,39788523
OTUD3,MESH:D000077273,0.9988,Negative_Correlation,39788523
KCNJ9,MESH:D001007,0.9997,Association,39801366
Atp1a2,MESH:D001007,0.9996,Association,39801366
INPP5B,MESH:D059350,0.9927,Association,39934103
INPP5B,MESH:D010146,0.8858,Association,39934103
MTHFR,MESH:D009436,0.9996,Association,39950581
VANGL2,MESH:D009436,0.9994,Association,39950581
VANGL1,MESH:D009436,0.9993,Association,39950581
MIR200B,MESH:D010051,0.9996,Association,40070792
TIPRL,MESH:D009369,0.9491,Association,40088344
TIPRL,MESH:D063646,0.9997,Association,40088344
TIPRL,MESH:D004476,0.9577,Association,40088344
CRB1,MESH:D014605,0.9996,Association,40157547
