DescriptorUI	DescriptorName	TreeNumbers
D000160	Vestibulocochlear Nerve Diseases	C09.218.807.800|C10.292.910
D000163	Acquired Immunodeficiency Syndrome	C01.221.250.875.040|C01.221.812.640.400.040|C01.778.640.400.040|C01.925.782.815.616.400.040|C01.925.813.400.040|C01.925.839.040|C12.100.937.640.400.040|C20.673.480.040
D000168	Acrocephalosyndactylia	C05.116.099.370.894.232.015|C05.116.099.370.894.819.100|C05.660.207.240.100|C05.660.585.800.100|C05.660.906.364.100|C05.660.906.819.100|C16.131.621.207.240.100|C16.131.621.585.800.100|C16.131.621.906.364.100|C16.131.621.906.819.100
D000169	Acrodermatitis	C16.131.831.066|C17.800.174.100|C17.800.804.066
D000170	Acrodynia	C10.668.829.025|C10.720.475.600.150|C25.723.522.875.500.100
D000172	Acromegaly	C05.116.132.082|C10.228.140.617.738.250.100|C19.700.355.179
D000182	ACTH Syndrome, Ectopic	C04.730.713.317
D000187	Actinobacillosis	C01.150.252.400.700.030.178|C22.039
D000189	Actinobacillus Infections	C01.150.252.400.700.030
D000193	Actinomycetales Infections	C01.150.252.410.040
D000196	Actinomycosis	C01.150.252.410.040.137
D000197	Actinomycosis, Cervicofacial	C01.150.252.410.040.137.316|C01.150.252.819.110|C01.800.720.110|C17.800.838.765.110
D000208	Acute Disease	C23.550.291.125
D000210	Acute-Phase Reaction	C23.550.470.099
D000219	Adams-Stokes Syndrome	C14.280.067.558.137|C14.280.123.500.137|C23.550.073.425.025
D000224	Addison Disease	C19.053.500.263|C20.111.163
D000230	Adenocarcinoma	C04.557.470.200.025
D000231	Adenocarcinoma, Papillary	C04.557.470.200.025.085
D000232	Adenofibroma	C04.557.450.565.590.595.050|C04.557.470.625.050
D000235	Adenolymphoma	C04.557.435.075
D000236	Adenoma	C04.557.470.035
D000237	Adenoma, Basophil	C04.557.465.625.650.075|C04.557.470.035.075|C04.557.580.625.650.075
D000238	Adenoma, Chromophobe	C04.557.465.625.650.095|C04.557.470.035.095|C04.557.580.625.650.095
D000239	Adenoma, Acidophil	C04.557.465.625.650.025|C04.557.470.035.025|C04.557.580.625.650.025
D000257	Adenoviridae Infections	C01.925.256.076
D000258	Adenovirus Infections, Human	C01.925.256.076.045
D000267	Tissue Adhesions	C23.550.355.274.840
D000270	Adie Syndrome	C10.177.045|C10.292.562.700.250|C11.590.436.200|C11.710.800.180
D000274	Adiposis Dolorosa	C17.800.463.249|C18.452.584.718.500
D000291	Adnexal Diseases	C12.050.351.500.056|C12.100.250.056
D000292	Pelvic Inflammatory Disease	C01.635.500|C12.050.351.500.056.750|C12.100.250.056.750
D000303	Adrenal Cortex Diseases	C19.053.098
D000306	Adrenal Cortex Neoplasms	C04.588.322.078.265|C19.053.098.265|C19.053.347.500|C19.344.078.265
D000307	Adrenal Gland Diseases	C19.053
D000308	Adrenocortical Hyperfunction	C19.053.800
D000309	Adrenal Insufficiency	C19.053.500
D000310	Adrenal Gland Neoplasms	C04.588.322.078|C19.053.347|C19.344.078
D000312	Adrenal Hyperplasia, Congenital	C12.050.351.875.253.090.500|C12.200.706.316.090.500|C12.800.316.090.500|C16.131.939.316.129.500|C16.320.033|C16.320.565.925.249|C18.452.648.925.249|C19.053.440|C19.391.119.090.500
D000314	Adrenal Rest Tumor	C04.557.470.035.232
D000326	Adrenoleukodystrophy	C10.228.140.163.100.084|C10.228.140.163.100.362.250|C10.228.140.695.625.250|C10.314.400.250|C10.597.606.360.455.124|C16.320.322.500.124|C16.320.400.525.124|C16.320.565.189.084|C16.320.565.189.362.250|C16.320.565.663.100|C18.452.132.100.084|C18.452.132.100.362.250|C18.452.648.189.084|C18.452.648.189.362.250|C18.452.648.663.100|C19.053.500.270
D000334	Aerophagy	C23.888.821.061
D000343	Afferent Loop Syndrome	C06.405.469.531.099|C23.550.767.050
D000347	Afibrinogenemia	C15.378.100.100.056|C15.378.100.141.072|C15.378.463.067|C16.320.099.056
D000355	African Horse Sickness	C01.920.313.030|C01.925.081.030|C01.925.782.791.142|C22.488.088
D000357	African Swine Fever	C01.920.930.125|C01.925.081.078|C01.925.256.142|C22.905.072
D000361	Agammaglobulinemia	C15.378.147.142|C15.604.515.032|C20.673.088
D000370	Ageusia	C10.597.751.861.184|C23.888.592.763.861.184
D000377	Agnosia	C10.597.606.762.100|C23.888.592.604.764.100|F01.700.750.100
D000380	Agranulocytosis	C15.378.243.750.184|C15.378.553.546.184
D000381	Agraphia	C10.597.606.150.500.050|C10.597.606.150.550.700.125|C23.888.592.604.150.500.050|C23.888.592.604.150.550.700.125|F03.625.374.188.700.125|F03.625.562.700.125
D000382	Agricultural Workers' Diseases	C24.080
D000386	AIDS-Related Complex	C01.221.250.875.080|C01.221.812.640.400.080|C01.778.640.400.080|C01.925.782.815.616.400.080|C01.925.813.400.080|C01.925.839.080|C12.100.937.640.400.080|C20.673.480.080
D000387	Ainhum	C05.116.264.143
D000402	Airway Obstruction	C08.618.846.185
D000405	Akinetic Mutism	C10.228.140.042
D000417	Albinism	C11.270.040|C16.320.290.040|C16.320.565.100.102|C16.320.850.080|C17.800.621.440.102|C17.800.827.080|C18.452.648.100.102
D000419	Albuminuria	C12.050.351.968.934.734.269|C12.200.777.934.734.269|C12.950.934.734.269|C23.888.942.750.269
D000425	Alcohol Amnestic Disorder	C10.720.112.100|C25.723.705.150.100|C25.775.100.087.193.100|F03.900.100.050
D000430	Alcohol Withdrawal Delirium	C10.720.112.200|C25.723.705.150.200|C25.775.100.087.193.200|C25.775.835.250|F03.900.100.100|F03.900.825.500
D000435	Alcoholic Intoxication	C25.775.100.175|F03.900.100.300
D000437	Alcoholism	C25.775.100.250|F03.900.100.350
D000453	Aleutian Mink Disease	C01.925.256.700.091|C01.925.839.091|C11.270.040.772.270|C20.673.774.257.270|C22.062
D000471	Alkalosis	C18.452.076.354
D000472	Alkalosis, Respiratory	C08.618.501.271|C18.452.076.354.271
D000474	Alkaptonuria	C16.320.565.100.187|C18.452.648.100.187
D000505	Alopecia	C17.800.329.937.122|C23.300.035
D000506	Alopecia Areata	C17.800.329.937.122.147
D000507	Mucinosis, Follicular	C17.300.550.550|C17.800.329.937.122.550|C17.800.794.550
D000532	Altitude Sickness	C08.618.020
D000542	Alveolitis, Extrinsic Allergic	C08.381.483.125|C08.674.055|C20.543.480.680.075
D000544	Alzheimer Disease	C10.228.140.380.100|C10.574.945.249|F03.615.400.100
D000550	Amblyopia	C10.228.140.055|C10.597.751.941.073|C11.966.073|C23.888.592.763.941.073
D000562	Amebiasis	C01.610.752.049
D000564	Ameloblastoma	C04.557.695.065
D000567	Amelogenesis Imperfecta	C07.650.800.295.250|C07.793.700.295.250|C16.131.850.800.295.250
D000568	Amenorrhea	C23.550.568.500
D000592	Amino Acid Metabolism, Inborn Errors	C16.320.565.100|C18.452.648.100
D000608	Renal Aminoacidurias	C12.050.351.968.419.815.885|C12.200.777.419.815.885|C12.950.419.815.885|C16.320.831.885
D000647	Amnesia	C10.597.606.525.100|C23.888.592.604.529.100|F01.700.625.100|F03.615.200
D000648	Amnesia, Retrograde	C10.597.606.525.100.150|C23.888.592.604.529.100.150|F01.700.625.100.150|F03.615.200.150
D000652	Amniotic Band Syndrome	C16.614.042
D000673	Amputation, Traumatic	C26.062
D000686	Amyloidosis	C18.452.845.500
D000690	Amyotrophic Lateral Sclerosis	C10.228.854.139|C10.574.562.250|C10.574.950.050|C10.668.467.250|C18.452.845.800.050
D000694	Anal Gland Neoplasms	C04.588.083|C04.588.274.476.411.307.790.040.040|C06.301.371.411.307.790.040.040|C06.405.249.411.307.790.040.040|C06.405.469.491.307.790.040.040|C06.405.469.860.101.163.083|C06.405.469.860.180.500.040.040|C22.073
D000699	Pain Insensitivity, Congenital	C10.668.829.700|C16.320.775
D000707	Anaphylaxis	C20.543.480.099
D000708	Anaplasia	C04.697.045|C23.550.727.045
D000711	Anaplasmataceae Infections	C01.150.252.400.054
D000712	Anaplasmosis	C01.150.252.400.054.500|C01.920.930.163|C22.085
D000724	Ancylostomiasis	C01.610.335.508.700.775.455.154
D000740	Anemia	C15.378.050
D000741	Anemia, Aplastic	C15.378.050.085|C15.378.190.223.250
D000742	Anemia, Dyserythropoietic, Congenital	C15.378.050.141.150.095|C16.320.070.095
D000743	Anemia, Hemolytic	C15.378.050.141
D000744	Anemia, Hemolytic, Autoimmune	C15.378.050.141.125|C20.111.175
D000745	Anemia, Hemolytic, Congenital	C15.378.050.141.150|C16.320.070
D000746	Anemia, Hemolytic, Congenital Nonspherocytic	C15.378.050.141.150.100|C16.320.070.100
D000747	Anemia, Hypochromic	C15.378.050.196
D000748	Anemia, Macrocytic	C15.378.050.252
D000749	Anemia, Megaloblastic	C15.378.050.252.196
D000750	Anemia, Myelophthisic	C15.378.050.307|C15.378.190.636.085
D000751	Anemia, Neonatal	C15.378.050.363|C16.614.053
D000752	Anemia, Pernicious	C15.378.050.252.196.500|C18.654.521.500.133.699.923.280
D000753	Anemia, Refractory	C15.378.050.400|C15.378.190.625.062
D000754	Anemia, Refractory, with Excess of Blasts	C15.378.050.400.080|C15.378.190.625.062.080
D000755	Anemia, Sickle Cell	C15.378.050.141.150.150|C15.378.420.155|C16.320.070.150|C16.320.365.155
D000756	Anemia, Sideroblastic	C15.378.050.419|C15.378.190.625.070
D000757	Anencephaly	C10.500.680.196|C16.131.085.197|C16.131.666.680.196
D000782	Aneuploidy	C23.550.210.050|G05.365.590.175.050|G05.700.131
D000783	Aneurysm	C14.907.055
D000784	Aortic Dissection	C14.907.055.448.250|C14.907.109.070.500
D000785	Aneurysm, Infected	C01.069|C14.907.055.131
D000787	Angina Pectoris	C14.280.647.187|C14.907.585.187|C23.888.592.612.233.500
D000788	Angina Pectoris, Variant	C14.280.647.187.150.150|C14.907.585.187.150.500|C23.888.592.612.233.500.150.150
D000789	Angina, Unstable	C14.280.647.187.150|C14.907.585.187.150|C23.888.592.612.233.500.150
D000793	Angioid Streaks	C11.768.094
D000794	Angiokeratoma	C04.557.645.115
D000795	Fabry Disease	C10.228.140.163.100.435.825.200|C10.228.140.300.275.374|C14.907.253.329.374|C16.320.322.124|C16.320.565.189.435.825.200|C16.320.565.398.641.803.300|C16.320.565.595.554.825.200|C18.452.132.100.435.825.200|C18.452.584.563.641.803.300|C18.452.648.189.435.825.200|C18.452.648.398.641.803.300|C18.452.648.595.554.825.200
D000796	Angiolymphoid Hyperplasia with Eosinophilia	C15.378.553.231.085|C15.604.515.292.007|C17.800.060
D000798	Angiomatosis	C14.907.077
D000799	Angioedema	C14.907.079|C17.800.862.945.066|C20.543.480.904.066
D000820	Animal Diseases	C22
D000839	Aniseikonia	C11.744.116
D000844	Ankylosis	C05.550.069
D000848	Anodontia	C07.650.800.100|C07.793.700.100|C16.131.850.800.100
D000849	Anomia	C10.597.606.150.500.090|C23.888.592.604.150.500.090
D000853	Anophthalmos	C11.250.080|C16.131.384.159
D000855	Anorexia	C23.888.821.108
D000857	Olfaction Disorders	C10.597.751.600|C23.888.592.763.550
D000858	Anovulation	C12.050.351.500.056.630.050|C12.100.250.056.630.050|C19.391.630.050|G08.686.784.690.080
D000860	Hypoxia	C23.888.852.079
D000868	Anterior Compartment Syndrome	C05.651.180.063|C14.907.303.063
D000874	Anthracosilicosis	C08.381.483.581.062.500|C08.381.483.581.760.125|C08.381.520.702.062.500|C08.381.520.702.760.125|C24.800.834.201
D000881	Anthrax	C01.150.252.410.090.072
D001002	Anuria	C12.050.351.968.419.078|C12.050.351.968.934.070|C12.200.777.419.078|C12.200.777.934.141|C12.950.419.078|C12.950.934.070
D001004	Anus Diseases	C06.405.469.860.101
D001005	Anus Neoplasms	C04.588.274.476.411.307.790.040|C06.301.371.411.307.790.040|C06.405.249.411.307.790.040|C06.405.469.491.307.790.040|C06.405.469.860.101.163|C06.405.469.860.180.500.040
D001006	Anus, Imperforate	C06.198.050|C16.131.314.094
D001014	Aortic Aneurysm	C14.907.055.239|C14.907.109.139
D001015	Aortic Arch Syndromes	C14.907.109.239
D001017	Aortic Coarctation	C14.240.400.090|C14.280.400.090|C16.131.240.400.090
D001018	Aortic Diseases	C14.907.109
D001019	Aortic Rupture	C14.907.055.185.125|C14.907.055.239.175|C14.907.109.139.175|C26.761.125
D001020	Aortic Stenosis, Subvalvular	C14.280.484.048.750.070|C14.280.955.249.070
D001022	Aortic Valve Insufficiency	C14.280.484.048.500
D001023	Aortic Valve Prolapse	C14.280.484.048.625|C14.280.484.400.100
D001024	Aortic Valve Stenosis	C14.280.484.048.750|C14.280.955.249
D001025	Aortitis	C14.907.109.320|C14.907.940.080
D001028	Aortopulmonary Septal Defect	C14.240.400.560.098|C14.280.400.560.098|C16.131.240.400.560.098
D001035	Aphakia	C11.510.103
D001036	Aphakia, Postcataract	C11.510.103.110
D001037	Aphasia	C10.597.606.150.500.800.100|C23.888.592.604.150.500.800.100
D001039	Aphasia, Broca	C10.597.606.150.500.800.100.100|C23.888.592.604.150.500.800.100.100
D001041	Aphasia, Wernicke	C10.597.606.150.500.800.100.166|C23.888.592.604.150.500.800.100.166
D001044	Aphonia	C08.360.940.160|C09.400.940.160|C10.597.975.100|C23.888.592.979.100
D001049	Apnea	C08.618.085|C23.888.852.130
D001063	Appendiceal Neoplasms	C04.588.274.476.411.184.290|C06.301.371.411.184.290|C06.405.249.411.184.290|C06.405.469.110.417.290|C06.405.469.491.184.290
D001064	Appendicitis	C01.463.099|C06.405.205.099|C06.405.469.110.207
D001068	Feeding and Eating Disorders	C23.888.821.329|F03.400
D001072	Apraxias	C10.597.606.881.350|C23.888.592.604.882.350|F01.700.875.350
D001079	Apudoma	C04.557.465.625.650.135|C04.557.470.035.250|C04.557.580.625.650.135
D001098	Spider Bites	C25.723.127.723|C26.176.790
D001100	Arachnoiditis	C10.586.625.097
D001102	Arbovirus Infections	C01.920.313|C01.925.081
D001112	Arcus Senilis	C11.204.299.070
D001117	Arenaviridae Infections	C01.925.782.082
D001129	Argyria	C17.800.621.166|C25.723.522.313
D001134	Arm Injuries	C26.088
D001139	Arnold-Chiari Malformation	C10.500.680.291|C16.131.666.680.291
D001145	Arrhythmias, Cardiac	C14.280.067|C23.550.073
D001146	Arrhythmia, Sinus	C14.280.067.093|C23.550.073.093
D001157	Arterial Occlusive Diseases	C14.907.137
D001159	Arterio-Arterial Fistula	C14.240.850.984.500|C14.907.933.110|C16.131.240.850.500|C23.300.575.950.150
D001161	Arteriosclerosis	C14.907.137.126
D001162	Arteriosclerosis Obliterans	C14.907.137.126.114
D001164	Arteriovenous Fistula	C14.240.850.750.147|C14.240.850.984.750|C14.907.150.125|C14.907.933.555|C16.131.240.850.750.125|C23.300.575.950.250
D001165	Arteriovenous Malformations	C14.240.850.750|C14.907.150|C16.131.240.850.750
D001167	Arteritis	C14.907.940.090
D001168	Arthritis	C05.550.114
D001169	Arthritis, Experimental	C05.550.114.015|E05.598.500.249
D001170	Arthritis, Infectious	C01.100|C05.550.114.099
D001171	Arthritis, Juvenile	C05.550.114.122|C05.799.056|C17.300.775.049|C20.111.198
D001172	Arthritis, Rheumatoid	C05.550.114.154|C05.799.114|C17.300.775.099|C20.111.199
D001176	Arthrogryposis	C05.550.150|C05.651.102|C05.660.077|C16.131.621.077
D001177	Arthropathy, Neurogenic	C05.550.186
D001183	Arthus Reaction	C20.543.520.175
D001184	Articulation Disorders	C10.597.606.150.500.800.150|C23.888.592.604.150.500.800.150
D001195	Asbestosis	C08.381.483.581.125|C08.381.520.702.125|C24.800.127
D001196	Ascariasis	C01.610.335.508.700.100.070
D001198	Ascaridiasis	C01.610.335.508.700.100.080
D001201	Ascites	C23.550.081
D001206	Ascorbic Acid Deficiency	C18.654.521.500.133.115
D001228	Aspergillosis	C01.150.703.080
D001229	Aspergillosis, Allergic Bronchopulmonary	C01.150.703.080.768.500|C01.150.703.534.850.500|C01.748.435.090|C08.381.472.850.500|C08.674.060|C08.730.435.090|C20.543.480.680.085
D001237	Asphyxia	C23.550.260.095|C26.103
D001238	Asphyxia Neonatorum	C16.614.092
D001247	Asthenia	C23.888.089
D001248	Asthenopia	C11.093
D001249	Asthma	C08.127.108|C08.381.495.108|C08.674.095|C20.543.480.680.095
D001250	Asthma, Exercise-Induced	C08.127.108.110|C08.674.095.110|C20.543.480.363.500|C20.543.480.680.095.110
D001251	Astigmatism	C11.744.212
D001254	Astrocytoma	C04.557.465.625.600.380.080|C04.557.470.670.380.080|C04.557.580.625.600.380.080
D001259	Ataxia	C10.597.350.090|C23.888.592.350.090
D001260	Ataxia Telangiectasia	C10.228.140.252.190.530.060|C10.562.100|C10.597.350.090.500.530.060|C14.907.823.213|C16.320.080|C16.320.798.250|C18.452.284.060|C20.673.795.250
D001261	Pulmonary Atelectasis	C08.381.730
D001264	Athetosis	C10.597.350.110|C23.888.592.350.110
D001265	Athletic Injuries	C26.115
D001281	Atrial Fibrillation	C14.280.067.198|C23.550.073.198
D001282	Atrial Flutter	C14.280.067.248|C23.550.073.248
D001284	Atrophy	C23.300.070
D001304	Auditory Diseases, Central	C09.218.807.186|C10.228.140.068
D001308	Auditory Perceptual Disorders	C09.218.807.186.094|C10.228.140.068.094|C10.597.606.762.200|C23.888.592.604.764.200|F01.700.750.200|F03.615.250.100
D001327	Autoimmune Diseases	C20.111
D001329	Autolysis	C23.550.260.224.617.236
D001342	Autonomic Nervous System Diseases	C10.177
D001353	Avian Leukosis	C01.925.782.815.096|C01.925.928.120|C04.557.337.372.216|C04.619.531.216|C15.378.508.372.216|C22.131.094
D001357	Sarcoma, Avian	C01.925.782.815.800|C01.925.928.800|C04.557.450.795.830.800|C04.619.857.800|C22.131.800
D001361	Avitaminosis	C18.654.521.500.133
D001404	Babesiosis	C01.610.701.688.122|C01.610.752.075|C01.610.752.625.122|C01.920.930.182|C22.674.710.122
D001416	Back Pain	C23.888.592.612.107
D001423	Bacterial Infections and Mycoses	C01.150
D001424	Bacterial Infections	C01.150.252
D001437	Bacteriuria	C01.915.219|C12.050.351.968.892.219|C12.200.777.892.219|C12.950.892.219
D001442	Bacteroides Infections	C01.150.252.400.110.109
D001446	Balanitis	C12.100.500.494.136|C12.200.294.494.136
D001447	Balantidiasis	C01.610.432.146|C01.610.752.200.146|C06.405.469.452.146
D001449	Balkan Nephropathy	C12.050.351.968.419.570.643.150|C12.200.777.419.570.643.150|C12.950.419.570.643.150
D001469	Barotrauma	C26.120
D001471	Barrett Esophagus	C04.834.154|C06.405.117.102
D001474	Bartonella Infections	C01.150.252.400.126.100
D001476	Bartonellaceae Infections	C01.150.252.400.126
D001477	Bartter Syndrome	C12.050.351.968.419.815.279|C12.200.777.419.815.279|C12.950.419.815.279|C19.053.800.604.249
D001478	Basal Cell Nevus Syndrome	C04.182.089.530.690.150|C04.557.470.200.165.150|C04.557.470.565.165.150|C04.700.175|C05.116.099.105|C05.500.470.690.150|C07.320.450.670.130|C16.131.077.130|C16.320.700.175
D001480	Basal Ganglia Diseases	C10.228.140.079
D001506	Beckwith-Wiedemann Syndrome	C16.131.077.133|C16.131.260.080|C16.320.180.080|C16.320.447.375
D001528	Behcet Syndrome	C07.465.075|C11.941.879.780.880.200|C14.907.940.100|C16.320.382.250|C17.800.827.368.250|C17.800.862.150
D001602	Beriberi	C18.654.521.500.133.699.827.223
D001606	Bernard-Soulier Syndrome	C15.378.100.100.080|C15.378.140.120|C15.378.463.080|C16.320.099.080
D001607	Berylliosis	C08.381.483.581.225|C08.381.520.702.225|C24.800.225
D001630	Bezoars	C26.392.183
D001649	Bile Duct Diseases	C06.130.120
D001650	Bile Duct Neoplasms	C04.588.274.120.250|C06.130.120.120|C06.130.320.120|C06.301.120.250
D001651	Cholestasis, Extrahepatic	C06.130.120.135.150
D001655	Bile Reflux	C06.130.140|C06.405.748.240.140
D001656	Biliary Atresia	C06.130.120.123|C06.198.125|C16.131.314.125
D001657	Biliary Dyskinesia	C06.130.120.250.098
D001658	Biliary Fistula	C06.267.150|C23.300.575.185.150
D001660	Biliary Tract Diseases	C06.130
D001661	Biliary Tract Neoplasms	C04.588.274.120|C06.130.320|C06.301.120
D001715	Bird Diseases	C22.131
D001716	Bird Fancier's Lung	C08.381.483.125.125|C08.674.055.125|C20.543.480.680.075.125|C24.125
D001720	Birth Injuries	C16.614.131|C26.141
D001724	Birth Weight	C23.888.144.186|E01.370.600.115.100.160.120.186|E01.370.600.115.450.375.186|E05.041.124.160.750.149|G07.100.100.160.120.186|G07.100.175.313.186|G07.345.249.314.120.186
D001733	Bites and Stings	C25.723.127|C26.176
D001734	Bites, Human	C26.176.071
D001742	Blackwater Fever	C01.610.752.530.650.228|C01.920.852.750.650.228
D001744	Urinary Bladder Calculi	C12.050.351.968.829.521|C12.050.351.968.967.500.925|C12.200.777.829.720|C12.200.777.967.500.925|C12.950.829.521|C12.950.967.500.925|C23.300.175.850.875
D001745	Urinary Bladder Diseases	C12.050.351.968.829|C12.200.777.829|C12.950.829
D001746	Bladder Exstrophy	C12.050.351.875.132|C12.050.351.968.829.132|C12.200.706.132|C12.200.777.829.132|C12.800.132|C12.950.829.132|C16.131.939.132
D001747	Urinary Bladder Fistula	C12.050.351.875.881.312|C12.050.351.968.829.548|C12.200.706.881.312|C12.200.777.829.733|C12.800.881.312|C12.950.829.548|C23.300.575.825.250
D001748	Urinary Bladder Neck Obstruction	C12.050.351.968.767.700.850|C12.050.351.968.829.601|C12.200.777.767.700.962|C12.200.777.829.760|C12.950.767.700.850|C12.950.829.601
D001749	Urinary Bladder Neoplasms	C04.588.945.947.960|C12.050.351.937.820.945|C12.050.351.968.829.707|C12.200.758.820.968|C12.200.777.829.813|C12.900.820.945|C12.950.829.707|C12.950.983.945
D001750	Urinary Bladder, Neurogenic	C10.597.900|C12.050.351.968.829.760|C12.200.777.829.839|C12.950.829.760|C23.888.592.900
D001752	Blast Crisis	C04.557.337.539.250.100|C04.697.098.500.110|C15.378.190.636.370.100|C15.378.508.539.250.100|C23.550.291.500.485.100|C23.550.727.098.500.110
D001753	Blast Injuries	C26.120.126
D001759	Blastomycosis	C01.150.703.302.055|C01.150.703.534.350|C01.748.435.395|C01.800.200.055|C08.381.472.350|C08.730.435.395|C17.800.838.208.055
D001762	Blepharitis	C11.338.133
D001763	Blepharoptosis	C11.338.204
D001764	Blepharospasm	C11.338.250
D001765	Blind Loop Syndrome	C06.405.469.637.145|C18.452.603.145
D001766	Blindness	C10.597.751.941.162|C11.966.075|C23.888.592.763.941.162
D001768	Blister	C17.800.865.187|C23.300.122
D001778	Blood Coagulation Disorders	C15.378.100
D001791	Blood Platelet Disorders	C15.378.140
D001796	Blood Protein Disorders	C15.378.147
D001816	Bloom Syndrome	C16.131.077.137|C16.320.798.313|C18.452.284.100|C20.673.795.313
D001819	Bluetongue	C01.920.313.125|C01.925.081.125|C01.925.782.791.315|C22.836.120
D001832	Body Temperature Changes	C23.888.119
D001835	Body Weight	C23.888.144|E01.370.600.115.100.160.120|E01.370.600.115.450.375|E05.041.124.160.750|G07.100.100.160.120|G07.100.175.313|G07.345.249.314.120
D001836	Body Weight Changes	C23.888.144.243|G07.345.249.314.120.200
D001845	Bone Cysts	C04.182.089|C05.116.070
D001847	Bone Diseases	C05.116
D001848	Bone Diseases, Developmental	C05.116.099
D001849	Bone Diseases, Endocrine	C05.116.132|C19.149
D001850	Bone Diseases, Infectious	C01.160|C05.116.165
D001851	Bone Diseases, Metabolic	C05.116.198|C18.452.104
D001855	Bone Marrow Diseases	C15.378.190
D001859	Bone Neoplasms	C04.588.149|C05.116.231
D001862	Bone Resorption	C05.116.264|G11.427.213.150
D001882	Border Disease	C01.925.782.350.675.100|C22.836.160
D001885	Bordetella Infections	C01.150.252.400.143
D001890	Borna Disease	C01.925.782.580.124|C22.152
D001899	Borrelia Infections	C01.150.252.400.794.352
D001906	Botulism	C01.150.252.410.222.151|C10.668.758.200|C10.720.150|C25.723.415.151
D001907	Boutonneuse Fever	C01.150.252.400.789.725.400.250|C01.920.930.887.250
D001912	Bovine Virus Diarrhea-Mucosal Disease	C01.925.782.350.675.106|C22.196.106
D001913	Bowen's Disease	C04.557.470.200.400.130|C04.557.470.700.400.130
D001919	Bradycardia	C14.280.067.319|C23.550.073.300
D001922	Brain Abscess	C01.207.090|C01.830.025.160|C10.228.140.116|C10.228.228.090
D001924	Brain Concussion	C10.228.140.199.444.250|C10.900.300.087.235.250|C10.900.300.350.300|C26.915.300.200.194.250|C26.915.300.450.500|C26.974.382.200
D001925	Brain Damage, Chronic	C10.228.140.140|C23.550.291.500.063
D001926	Brain Death	C10.228.140.151|C10.597.606.358.800.200.100|C23.550.260.159
D001927	Brain Diseases	C10.228.140
D001928	Brain Diseases, Metabolic	C10.228.140.163|C18.452.132
D001929	Brain Edema	C10.228.140.187
D001930	Brain Injuries	C10.228.140.199|C10.900.300.087|C26.915.300.200
D001932	Brain Neoplasms	C04.588.614.250.195|C10.228.140.211|C10.551.240.250
D001935	Branchioma	C04.182.117
D001941	Breast Diseases	C17.800.090
D001943	Breast Neoplasms	C04.588.180|C17.800.090.500
D001946	Breech Presentation	C12.050.703.420.183|G08.686.520.150|G08.686.784.769.326.520.150
D001948	Brenner Tumor	C04.557.450.565.590.595.150|C04.557.470.625.150|C12.050.351.500.056.630.705.265|C12.050.351.937.418.685.265|C12.100.250.056.630.705.265|C12.900.418.685.265|C19.391.630.705.265
D001982	Bronchial Diseases	C08.127
D001983	Bronchial Fistula	C08.127.196|C08.702.196|C23.300.575.687.225
D001984	Bronchial Neoplasms	C04.588.894.797.520.109|C08.127.265|C08.785.520.100
D001986	Bronchial Spasm	C08.127.321
D001987	Bronchiectasis	C08.127.384
